race,hours,age,parttime,educ,logwg,loghrwg,married,nevermar,sepdivw
1,50,48,0,8,6.390492,2.478469,1,0,0
1,40,32,0,16,7.050859,3.36198,1,0,0
1,50,41,0,16,7.237332,3.325309,1,0,0
1,40,23,0,12,6.214608,2.525729,0,1,0
1,40,23,0,14,5.298317,1.609438,0,1,0
1,40,31,0,16,6.134569,2.445689,1,0,0
1,35,23,0,12,5.664557,2.109208,1,0,0
0,40,47,0,13,5.874284,2.185405,1,0,0
1,24,22,0,12,6.087638,2.909584,0,1,0
1,42,43,0,12,6.433615,2.695946,1,0,0
1,40,41,0,16,6.848334,3.159455,1,0,0
1,12,18,1,11,4.315887,1.83098,0,1,0
1,40,33,0,18,7.176017,3.487138,1,0,0
1,40,30,0,18,6.907755,3.218876,1,0,0
1,72,48,0,16,6.868536,2.59187,1,0,0
1,38,25,0,12,6.214608,2.577022,0,1,0
1,32,30,0,14,6.092011,2.626275,0,1,0
1,40,64,0,12,5.595566,1.906687,1,0,0
1,40,55,0,13,6.511864,2.822985,1,0,0
1,40,54,0,12,6.64539,2.956511,1,0,0
1,40,25,0,16,6.252347,2.563468,0,1,0
1,45,50,0,12,6.175389,2.368726,1,0,0
1,40,21,0,9,5.298317,1.609438,0,1,0
1,50,34,0,12,6.763169,2.851146,1,0,0
1,32,29,0,10,6.092011,2.251292,0,1,0
1,40,27,0,13,6.092011,2.209373,0,1,0
1,15,63,1,9,4.85203,2.129421,1,0,0
1,50,32,0,18,6.567431,2.61007,1,0,0
1,60,23,0,12,6.40815,2.197225,0,1,0
1,55,28,0,12,5.559219,1.871802,1,0,0
1,50,45,0,13,7.130899,2.995732,1,0,0
1,3,18,1,11,2.813611,2.302585,0,1,0
1,32,22,1,12,5.112891,1.629241,0,1,0
1,35,23,0,12,5.347107,0.6981347,0,1,0
1,40,57,0,12,6.594099,2.833213,1,0,0
1,0,42,0,12,6.252347,3.113515,1,0,0
1,40,43,0,14,6.252347,2.484907,1,0,0
1,50,43,0,12,5.259109,1.347086,1,0,0
1,0,56,0,12,6.694178,2.772589,1,0,0
1,45,29,0,17,6.482878,2.744418,1,0,0
1,40,48,0,12,5.991465,2.302585,1,0,0
1,70,46,0,12,6.535154,2.286659,1,0,0
1,45,40,0,16,6.511864,2.705202,1,0,0
1,70,46,0,14,7.205004,2.956509,1,0,0
1,42,21,0,13,5.846872,2.109203,0,1,0
1,50,34,0,18,7.130899,3.218876,1,0,0
1,8,18,1,10,4.49981,2.420368,0,1,0
1,30,34,1,16,5.952256,2.551059,1,0,0
1,60,43,0,14,7.561673,3.467328,1,0,0
1,40,26,0,17,6.175389,2.48651,0,1,0
1,65,46,0,12,6.694178,2.519791,1,0,0
1,49,47,0,14,6.888338,2.996518,1,0,0
1,20,21,1,14,5.521461,2.525729,0,1,0
1,40,50,0,3,5.84131,2.152431,0,0,1
1,60,33,0,16,7.274001,3.179657,1,0,0
1,40,42,0,14,6.827716,3.138836,1,0,0
1,40,37,0,16,6.594099,2.905219,1,0,0
1,37,48,0,13,6.390492,2.779574,0,1,0
1,40,23,0,12,5.664557,1.975677,0,1,0
1,40,35,0,16,6.763169,3.074289,1,0,0
1,40,28,0,12,5.729093,2.040213,0,1,0
1,45,25,0,13,6.011659,2.204997,0,1,0
1,40,21,0,14,6.502295,2.813416,1,0,0
1,40,43,0,15,6.214608,2.525729,0,0,1
1,50,40,0,18,7.456322,3.544299,1,0,0
1,50,50,0,16,7.274001,3.361978,0,0,1
1,40,27,0,12,6.175389,2.48651,0,1,0
1,40,40,0,18,6.252347,2.563468,1,0,0
1,42,32,0,16,6.252347,2.514677,1,0,0
1,24,29,0,12,4.60517,1.427116,1,0,0
1,40,31,0,12,4.055084,0.3662044,1,0,0
1,49,29,0,12,5.926926,2.035106,0,0,1
1,32,34,1,12,6.065087,2.599351,1,0,0
1,40,39,0,18,6.448889,2.76001,1,0,0
1,20,18,1,11,4.792397,1.796664,0,1,0
1,40,41,0,14,5.846872,2.157993,1,0,0
1,40,42,0,16,7.050859,3.36198,1,0,0
1,45,49,0,12,5.835717,2.029054,1,0,0
1,40,64,0,12,5.516207,1.827328,1,0,0
1,40,49,0,13,6.436919,2.74804,1,0,0
1,5,18,1,11,5.416101,3.806663,0,1,0
1,60,27,0,16,6.134569,2.040224,1,0,0
1,40,28,0,12,6.380766,2.691887,1,0,0
1,40,46,0,12,4.29497,0.6060904,1,0,0
1,40,30,0,12,-0.040822,-3.729702,1,0,0
1,45,40,0,12,6.005318,2.198656,1,0,0
1,40,43,0,12,6.174182,2.485302,1,0,0
1,55,39,0,9,6.511864,2.504531,1,0,0
1,80,35,0,18,7.561673,3.179646,1,0,0
1,45,37,0,14,6.965666,3.159003,1,0,0
1,40,42,0,18,6.677083,2.988204,1,0,0
1,46,50,0,12,7.130899,3.302258,1,0,0
1,41,21,0,12,6.001043,2.287472,0,1,0
1,50,53,0,18,8.121293,4.20927,1,0,0
1,35,35,0,13,6.175389,2.620041,0,0,1
1,40,29,0,16,6.323803,2.634924,1,0,0
1,40,32,0,13,6.001043,2.312164,1,0,0
1,42,27,0,9,5.314289,1.57662,1,0,0
1,32,54,1,0,4.748231,1.282495,0,1,0
1,32,32,1,0,6.482878,3.017142,0,1,0
1,45,25,0,12,5.952256,2.145593,1,0,0
1,40,36,0,13,6.511864,2.822985,1,0,0
1,84,26,0,12,-0.040822,-4.471639,1,0,0
1,55,33,0,12,6.047561,2.040228,1,0,0
1,40,43,0,14,6.323803,2.634924,1,0,0
1,40,39,0,12,6.208509,2.51963,1,0,0
1,40,44,0,8,5.818895,2.130016,1,0,0
1,48,49,0,12,5.929589,2.058388,1,0,0
1,40,45,0,13,6.175389,2.48651,1,0,0
1,40,33,0,12,5.703783,2.014903,1,0,0
1,40,40,0,12,6.271763,2.582884,1,0,0
1,45,29,0,16,6.707938,2.901275,1,0,0
1,40,46,0,18,7.194737,3.505858,1,0,0
1,56,36,0,14,6.694178,2.668827,1,0,0
1,40,43,0,16,6.001043,2.312164,1,0,0
1,52,43,0,18,6.347652,2.396408,1,0,0
1,40,31,0,12,5.857933,2.169054,1,0,0
1,50,37,0,18,6.620073,2.70805,1,0,0
1,40,39,0,10,5.926926,2.238047,1,0,0
1,45,31,0,18,6.682685,2.876022,1,0,0
1,70,43,0,11,3.649619,-0.5988765,1,0,0
1,24,40,0,16,6.474014,3.29596,1,0,0
1,90,37,0,16,6.608729,2.108919,1,0,0
1,40,51,0,11,5.952256,2.263376,1,0,0
1,24,33,0,18,6.252347,3.074293,1,0,0
1,40,43,0,12,5.729093,2.040213,0,0,1
1,25,57,1,16,5.361198,2.142323,1,0,0
1,40,58,0,12,5.789715,2.100836,1,0,0
1,40,46,0,13,6.074472,2.385593,0,1,0
1,40,33,0,12,6.032198,2.343319,1,0,0
1,20,45,1,12,5.224186,2.228454,1,0,0
1,25,24,1,12,5.460819,2.241943,0,1,0
1,40,29,0,12,5.966147,2.277267,1,0,0
1,60,37,0,18,1.366092,-2.728253,1,0,0
1,11,18,1,10,4.60517,2.207275,0,1,0
1,40,60,0,12,5.952256,2.263376,0,0,1
1,48,41,0,12,6.357704,2.486503,1,0,0
1,40,33,0,12,4.342766,0.6538864,1,0,0
