give,age,sex,educ,income,trust
0,23,1,2,6000,2.23
150,37,2,1,30000,1.85
0,45,1,2,66000,1.15
300,32,2,1,42000,2.85
920,69,1,1,36000,1.98
300,60,2,1,54000,2.23
10,52,2,1,54000,1.54
0,49,1,2,6000,2.28
0,32,2,1,6000,2.77
250,30,1,2,66000,2.23
0,36,2,1,6000,1.92
877,87,2,2,36000,2.54
2510,65,1,1,18000,2.85
175,62,1,2,42000,3.77
0,78,2,1,24000,2.36
0,21,1,1,24000,2.15
0,21,2,1,54000,2.31
0,22,1,1,30000,2
0,60,1,1,30000,1.77
1200,73,2,1,48000,1.85
700,65,2,1,24000,2.38
0,46,2,1,30000,1.77
0,62,1,1,18000,2
50,70,2,1,6000,2.92
70,52,1,1,30000,1.38
0,26,2,1,6000,2.38
370,49,1,2,66000,2.85
120,61,2,2,66000,1.92
125,29,1,1,24000,2.08
110,26,1,1,36000,2.08
100,95,2,2,30000,2.38
1700,60,1,1,66000,2.62
225,51,1,1,24000,3
60,31,1,1,36000,2.49
760,64,2,1,36000,3.31
680,42,2,2,48000,2.85
600,74,1,1,42000,2.69
0,27,2,1,12000,2
0,33,2,1,54000,1.77
50,42,1,1,30000,2.15
0,65,2,1,36000,1.75
3750,43,2,2,42000,2.55
0,49,1,2,36000,1.85
400,50,1,1,36000,1.66
555,33,1,1,36000,1.86
5450,56,1,1,60000,2.21
0,18,2,1,66000,3
100,40,1,2,60000,2.38
1000,37,2,1,36000,2.85
150,43,2,2,42000,2.38
0,29,2,1,48000,2.38
1800,60,1,2,60000,2.38
490,38,2,2,36000,2.23
0,33,2,1,12000,2.54
0,36,2,1,54000,2
105,29,2,1,18000,2.77
40,38,2,1,60000,2.77
350,48,2,1,30000,2.29
350,74,2,1,24000,1.91
1300,50,2,1,66000,2.62
2000,46,2,1,48000,2.18
1000,58,1,1,42000,1.67
0,67,1,1,6000,1.95
60,39,2,1,24000,2.15
0,29,1,1,36000,2
3100,59,1,1,36000,2.62
65,63,1,2,54000,1.92
0,42,1,1,54000,2
0,31,2,2,72000,2.47
0,28,1,1,54000,2
1300,76,1,1,30000,1.77
500,76,1,1,42000,2.21
575,65,2,1,48000,2.77
0,85,2,1,6000,2.08
50,82,1,1,6000,1.98
0,31,1,1,72000,2.38
20,21,2,1,48000,2.38
0,31,2,2,48000,2.09
0,24,2,1,6000,2.77
245,52,2,2,48000,2.54
0,34,1,1,54000,2.15
250,44,2,1,60000,1.62
100,79,1,1,18000,1.79
900,39,1,1,60000,2.32
0,63,2,1,36000,2.31
175,36,2,1,72000,2.44
80,58,2,1,6000,2.92
350,47,1,1,60000,3.08
125,78,1,1,12000,2.01
40,24,1,1,6000,3.43
0,18,1,1,66000,3.08
0,29,1,1,66000,1.77
650,57,1,2,60000,2.46
2400,41,2,1,60000,2.92
0,19,2,1,60000,4
1200,27,2,1,66000,3.38
700,65,1,1,18000,1.8
0,36,1,1,54000,2.54
125,66,1,2,42000,1.92
700,70,2,1,42000,2.23
10,19,1,1,6000,3.17
175,54,2,1,30000,2.54
0,38,1,1,12000,2.38
1000,66,1,1,66000,1.85
0,62,1,1,42000,1.23
200,61,1,1,6000,2.15
0,40,1,1,18000,3.23
0,57,2,1,12000,2.38
0,62,2,1,42000,2.92
0,67,2,1,18000,2.1
6600,57,2,1,66000,2.86
1200,57,2,1,60000,2.23
15,59,1,1,54000,2.15
0,25,1,1,18000,2.22
550,38,2,1,42000,1.54
185,33,2,1,78000,2.15
55,43,2,1,54000,2
200,59,1,2,60000,3
640,40,1,1,60000,1.92
0,21,2,1,42000,2.54
330,68,2,1,30000,2.38
300,38,1,1,54000,2.15
200,25,1,1,42000,2
0,44,1,2,42000,1.99
2000,67,2,2,18000,1.92
530,51,2,1,72000,3.66
1500,39,1,2,54000,1.89
50,30,2,1,54000,2.31
0,30,1,1,42000,3
0,77,1,1,12000,1.88
150,63,2,1,60000,2.08
725,53,2,2,66000,2.15
0,34,2,1,48000,2.34
50,44,2,1,30000,2.23
0,28,1,1,42000,1.69
50,50,2,1,24000,1.85
0,57,1,1,30000,2.62
25,44,1,1,30000,2.15
110,65,1,1,30000,2.77
0,68,1,1,30000,2.85
500,28,2,1,48000,3
0,32,1,1,54000,2.46
5020,33,1,2,60000,2.31
3010,55,2,1,54000,2.62
1600,60,1,1,42000,2.23
0,57,2,1,42000,2.54
170,41,2,1,42000,2.54
0,35,1,1,30000,2.62
0,39,2,1,6000,4
0,29,1,1,6000,2.31
0,31,2,1,6000,2.92
0,62,1,1,24000,3.23
1250,70,1,1,18000,2.54
50,68,2,1,6000,2.32
0,25,1,1,12000,2.31
0,20,2,1,36000,2.38
5,27,1,1,30000,2.69
370,52,1,2,72000,2.4
535,50,2,2,78000,2.46
2000,45,1,1,42000,1.87
1800,40,1,1,30000,1.66
0,37,1,1,24000,2.08
3150,70,1,2,66000,2.69
0,58,2,1,6000,1.31
3220,39,2,1,42000,2.03
0,85,2,1,42000,2.31
0,34,1,1,18000,1.77
0,31,2,1,42000,3.23
1903,44,2,2,66000,2.69
220,60,1,2,66000,2.08
0,57,2,1,60000,2.38
4200,71,1,1,36000,2.47
0,52,1,2,60000,2.38
3615,67,2,1,60000,2.78
760,40,2,2,66000,2.38
150,34,2,1,42000,2.7
315,32,1,1,36000,1.54
100,23,2,1,12000,2.15
310,42,2,1,42000,3.46
300,37,2,1,48000,2.85
370,32,1,1,30000,3.46
75,26,1,1,42000,4
300,50,2,1,30000,3.15
3515,54,2,1,12000,2.91
0,48,2,1,24000,2.31
800,31,1,1,36000,2.38
0,21,1,1,30000,3
170,46,1,1,54000,1.92
350,38,2,1,72000,2.38
70,41,1,1,30000,2.54
25,24,2,1,36000,2.31
50,29,2,1,30000,2.46
200,45,1,1,42000,2.21
25,50,2,2,54000,1.69
1250,41,1,2,36000,1.92
0,51,1,1,66000,2.23
0,45,2,2,72000,2.19
0,39,1,1,30000,2.23
0,21,1,1,6000,2.31
200,51,1,1,72000,3
0,34,2,1,18000,2.08
50,40,1,1,18000,2.54
235,47,2,1,48000,2.11
370,45,2,2,72000,2.27
220,24,2,2,24000,2.38
2030,37,2,1,42000,2.69
100,67,2,1,12000,2.08
50,33,1,1,12000,2.15
45,76,1,1,18000,2.54
7,33,2,1,42000,1.69
310,23,1,2,48000,2.92
650,36,1,2,48000,2.08
1950,28,2,1,48000,3.54
0,71,1,1,54000,3.31
1050,81,2,1,6000,2.02
0,75,2,1,18000,2.69
1000,68,1,1,72000,2.42
255,76,2,1,42000,2.77
0,66,1,1,72000,1.77
830,62,1,1,66000,2.77
230,62,2,1,6000,2.15
625,38,2,1,78000,2.85
0,61,2,1,78000,3.31
100,34,1,1,42000,1.85
1040,27,2,1,36000,2.08
55,53,1,1,24000,2
0,92,1,1,6000,2.32
1500,32,1,1,42000,3
100,54,2,1,54000,1.62
25,32,1,1,48000,2.92
100,58,2,1,6000,2.85
2285,55,2,2,60000,2.77
810,30,2,1,66000,1.77
180,78,2,1,18000,3.77
3350,37,1,1,66000,1.85
11475,27,1,1,78000,1.92
800,41,1,2,54000,2.08
1100,78,1,1,24000,1.62
3500,37,2,2,54000,1.85
68,73,2,1,18000,2.08
800,40,1,1,48000,2.6
0,51,1,1,78000,2
300,65,1,1,30000,2.23
0,24,1,1,18000,2.31
0,39,2,1,18000,2.21
0,62,2,1,12000,2.28
300,39,1,1,30000,3.15
0,33,2,1,42000,1.43
0,46,1,1,12000,2.92
0,44,1,1,24000,2.36
0,23,1,2,18000,2.62
1850,29,2,2,54000,2.55
260,65,2,1,30000,1.63
2300,37,1,2,60000,2.38
0,41,2,1,24000,2
800,44,1,1,60000,1.92
0,31,2,1,30000,2.12
0,60,1,1,42000,1.85
0,33,1,1,36000,2.32
250,55,2,1,48000,1.46
0,76,2,1,42000,1.46
208,78,2,1,6000,2.08
3450,41,1,1,48000,2.69
0,52,2,1,72000,2.15
0,57,2,1,30000,1.08
100,77,1,1,18000,2.69
0,27,1,1,6000,2.06
565,37,1,1,54000,2.21
3800,44,1,2,78000,2.54
3200,61,1,2,48000,1.62
0,22,1,2,18000,1.85
535,57,2,1,42000,1.46
425,36,1,2,60000,2.36
300,49,2,1,42000,2.15
20,26,1,2,54000,2.46
150,28,2,1,36000,2.23
5,25,2,2,18000,2.12
0,47,1,1,24000,2.23
0,29,1,1,24000,2.69
0,31,2,1,36000,3.08
0,54,1,1,60000,1.85
1160,38,2,2,66000,2.31
340,49,1,2,66000,2.18
1425,36,2,2,48000,2.09
0,26,1,1,36000,2.77
0,60,1,1,54000,1.58
0,70,1,1,36000,1.69
5100,59,2,1,54000,2.08
135,25,2,1,18000,1.69
150,30,2,2,78000,2.15
200,79,2,1,12000,2.04
640,27,1,1,60000,1.87
120,29,1,1,72000,2.46
75,81,2,1,6000,2.28
0,36,1,1,18000,1.95
20,79,1,1,6000,2.31
0,27,1,1,12000,2.23
30,78,2,1,6000,2.78
0,35,1,1,12000,1.89
0,28,1,1,12000,1.65
0,52,2,1,54000,1.77
30,21,2,1,66000,2.46
100,58,2,1,66000,2
2500,44,1,1,60000,2.23
2700,34,2,1,30000,1.48
150,60,2,1,12000,1.85
0,21,2,1,36000,2
0,62,2,1,24000,2.08
100,72,2,1,18000,2.62
0,40,1,1,48000,1.46
660,63,1,1,48000,1.54
0,30,1,1,42000,1.92
1100,39,1,1,60000,2.69
765,46,1,1,60000,2.08
30,64,2,1,12000,2.54
0,32,1,1,54000,2.62
5500,37,1,2,60000,2.64
4450,40,2,2,78000,2.08
255,36,2,1,30000,2
2575,51,1,2,60000,2.92
0,85,2,1,18000,2.62
0,46,2,1,30000,2.15
850,36,1,2,42000,2
315,36,2,2,60000,2
0,49,2,1,6000,2.69
0,26,2,1,12000,3.54
0,39,1,1,6000,4
0,35,1,1,24000,3
0,35,1,2,12000,2.31
0,64,2,1,6000,1.45
265,45,2,1,6000,3.46
975,43,1,2,66000,1.39
0,58,2,1,12000,1.73
0,42,1,1,48000,2.02
0,42,1,1,78000,2.33
600,57,2,1,48000,3
360,64,2,1,36000,2
60,31,1,1,54000,2.46
1300,71,2,1,18000,2.85
4300,44,2,1,78000,3
135,76,2,1,36000,2.26
1000,25,2,1,24000,2.38
410,79,1,1,12000,2.16
0,76,1,1,6000,2.04
85,33,2,1,24000,3.54
0,78,1,1,30000,2
450,54,1,2,36000,1.93
100,30,1,1,18000,1.92
1000,40,1,2,66000,2.62
100,38,1,2,48000,2.58
33,29,2,2,48000,2.4
0,50,2,2,66000,2.92
90,48,1,1,72000,1.92
1025,46,1,1,60000,2.46
1500,47,2,2,66000,1.85
2600,63,2,1,42000,2
100,39,1,2,66000,2.31
0,40,2,1,72000,1.69
0,66,2,1,18000,2.77
2700,72,1,1,60000,2.3
200,72,2,1,48000,2.23
52,29,1,1,60000,2.19
104,45,1,1,48000,1.62
0,54,2,1,36000,2.69
1500,32,2,1,72000,2
4200,42,2,2,78000,2.77
445,35,1,2,78000,2.62
0,40,1,2,72000,1
270,40,2,2,66000,1.54
675,40,1,2,72000,2.08
6800,42,1,2,78000,3
118,54,1,1,12000,2
0,38,1,2,72000,2.31
3600,36,2,1,54000,2.38
15,22,2,1,18000,3
120,44,2,1,42000,3.46
0,25,2,1,24000,3
50,42,1,2,48000,3
0,76,2,1,18000,2.23
95,23,2,1,30000,2.77
1400,33,1,1,66000,2.23
0,24,1,1,24000,1.31
10,85,2,1,12000,2.22
475,45,2,1,36000,3.23
0,30,2,1,12000,2.31
40,19,2,1,36000,2.23
185,29,2,1,18000,3.46
0,38,2,1,6000,3.23
0,27,2,1,36000,2.54
160,25,1,1,54000,1.92
100,30,1,2,66000,1.92
0,26,1,2,36000,3.23
0,37,1,1,42000,1.15
2750,62,2,2,54000,3.23
130,78,1,1,48000,3
20,27,2,1,36000,2.77
155,74,2,1,18000,2.95
65,35,1,1,30000,3.15
100,72,2,1,12000,3.23
100,21,1,1,54000,2.23
75,30,2,1,24000,2.46
0,24,1,2,30000,2.54
70,24,1,1,12000,2.56
0,37,2,1,18000,3.05
0,36,2,1,6000,3.31
365,26,2,1,6000,2.08
100,42,2,1,42000,1.82
1700,66,1,1,54000,2.08
470,48,2,1,60000,2.75
365,32,2,1,66000,2.54
7550,52,2,1,66000,2.08
100,44,1,2,72000,1.38
267,41,2,2,36000,1.92
0,41,1,1,54000,2.46
3650,44,2,1,60000,2.92
3725,36,1,2,60000,2.15
550,51,1,2,54000,1.92
675,40,1,1,66000,2.08
0,30,1,1,30000,2.29
100,30,2,2,66000,2.15
300,33,2,2,48000,2.54
3840,36,1,2,72000,2.54
300,20,2,1,42000,3
10,59,2,1,42000,1.85
0,71,1,1,30000,2.15
0,47,1,1,24000,1.77
10,39,1,1,66000,2.08
105,32,1,2,48000,1.77
0,52,2,1,42000,1.77
150,74,1,1,60000,3.46
0,26,2,2,48000,1.46
75,69,1,2,24000,2.77
500,63,2,1,60000,2
1045,60,2,1,36000,2.09
680,40,2,1,48000,2.85
0,19,1,1,18000,2.77
0,30,1,1,54000,1.7
1500,78,2,1,60000,2.08
300,20,1,1,72000,2.08
605,70,2,1,18000,2.46
1000,40,2,1,54000,2.46
200,31,2,1,48000,2.69
625,42,2,1,48000,2.32
0,64,1,1,42000,1.35
0,74,2,1,36000,2.54
0,76,2,1,12000,3.08
10,38,1,1,18000,3.15
0,47,1,1,6000,2.54
700,71,1,1,24000,3.15
50,30,1,1,18000,2.16
0,50,2,1,78000,2.54
0,30,2,1,24000,2.31
0,27,1,1,12000,1.77
250,38,1,2,42000,3.15
300,47,1,1,54000,1.93
0,23,1,1,30000,2.15
65,70,2,1,6000,1.58
0,36,1,1,60000,2.38
675,56,2,2,60000,2.08
10,67,1,1,6000,2.04
300,31,2,1,48000,1.92
20,21,1,1,24000,2.38
0,23,1,1,72000,1.77
1400,42,1,2,78000,1.77
0,38,2,1,60000,2.69
200,38,2,2,48000,2
2070,30,2,1,60000,2.77
6544,56,1,1,66000,3
0,20,1,1,42000,2.54
360,32,2,1,42000,2.77
0,47,2,1,24000,2.23
2500,46,1,1,60000,2.54
905,43,2,2,54000,2.69
170,35,2,1,54000,2.46
695,76,1,1,24000,2
52,43,1,1,60000,2.34
3220,64,2,1,48000,2.15
20,69,1,1,30000,2.23
235,56,1,1,48000,2.38
50,30,1,1,42000,3.08
300,44,2,1,54000,2.15
300,49,2,1,24000,2.23
180,42,2,1,42000,2.38
0,50,1,1,12000,2.21
0,31,2,1,36000,2.23
1025,33,2,2,66000,3.31
0,18,1,1,12000,2.54
0,32,1,1,18000,2.32
200,43,1,1,18000,3.69
140,40,2,2,78000,1.99
250,46,2,1,24000,2.31
700,32,1,1,60000,3.38
0,38,2,1,24000,2.92
10,64,1,1,30000,2.42
0,32,2,1,36000,2.23
1400,47,2,2,66000,2
0,63,1,1,42000,2.25
0,28,2,1,24000,2.54
940,65,2,1,42000,2.46
300,42,2,1,42000,1.96
100,40,1,1,66000,3.31
200,31,2,1,30000,2.16
400,64,1,1,24000,2.08
0,76,1,1,24000,1.23
110,50,2,2,66000,2.69
0,49,1,2,30000,1.98
0,41,1,1,18000,1.69
0,27,1,1,42000,1.69
600,42,2,2,66000,2.62
240,28,2,1,24000,2.92
165,46,2,1,42000,2.12
0,30,1,2,66000,2.69
2000,50,2,2,66000,2.71
100,21,1,1,54000,2.77
290,60,2,1,18000,2.38
385,34,2,1,66000,1.92
60,53,1,1,12000,1.77
2795,44,1,1,60000,2.77
0,42,1,2,72000,2.14
0,67,1,1,48000,2.38
0,80,1,1,6000,2.05
20,42,1,1,24000,1.92
0,44,2,1,12000,1.62
4500,70,2,2,36000,2.69
0,52,2,1,42000,3.23
500,51,2,1,60000,2.23
550,57,2,1,48000,2.2
500,29,1,1,54000,2.31
925,52,2,1,48000,1.94
300,19,1,1,36000,1.38
0,27,1,1,54000,2.97
150,44,1,2,78000,1.77
65,53,2,1,48000,2.23
75,20,1,1,66000,2.62
55,45,2,1,54000,1.62
230,35,2,2,36000,2.77
5800,50,1,1,66000,3.15
900,48,1,2,66000,2.17
100,44,2,1,66000,2.39
112,23,2,1,30000,2.15
700,52,1,1,78000,3.46
1390,61,2,1,60000,1.85
0,50,1,1,54000,2.77
320,79,2,2,18000,2.38
240,46,2,2,48000,1.92
600,69,1,2,60000,2.5
300,29,2,1,54000,1.69
810,33,2,1,54000,2.85
60,69,1,1,36000,1.62
3600,78,2,1,48000,2.99
1290,34,1,2,42000,2.23
0,77,2,1,12000,1.89
150,27,1,1,54000,2.54
300,65,2,1,6000,2.69
0,74,1,2,36000,2.23
1220,49,1,1,66000,2.23
1000,57,1,2,60000,1.92
10,33,1,2,60000,1.62
0,21,2,1,6000,1.54
2500,41,1,2,42000,2.15
600,50,1,1,48000,2.08
150,46,1,2,36000,2.38
0,34,2,1,18000,1.92
300,64,2,1,18000,1.77
960,57,2,2,78000,2.54
0,72,1,2,36000,2.54
0,65,1,1,18000,1.62
1435,47,2,1,54000,1.94
2000,52,1,1,30000,2.54
450,29,1,2,36000,2.46
0,57,1,1,60000,2.31
810,63,1,1,42000,2.46
1125,29,1,2,60000,2.92
550,34,2,1,72000,2.32
0,37,1,2,60000,1.92
150,60,1,1,54000,1.46
1000,50,2,1,30000,2.62
1180,30,2,1,30000,2.46
1000,21,2,1,36000,2.62
5,44,2,1,60000,2.27
200,32,1,1,60000,2.46
1330,62,2,1,18000,1.15
0,20,1,1,66000,2.96
280,43,1,1,60000,2.46
300,34,1,1,66000,2.92
650,41,1,2,48000,2.08
0,43,2,2,78000,3.23
200,52,1,1,54000,2.46
215,37,1,2,18000,2.94
1900,66,1,2,60000,2.34
160,40,2,2,54000,2.18
4,28,1,2,54000,2.46
175,74,1,1,54000,1.85
200,84,2,1,18000,2.62
140,28,2,1,42000,2.15
750,66,1,2,60000,2.23
1125,27,1,1,66000,2.77
250,65,1,1,30000,2.54
150,39,2,2,42000,2.23
700,34,1,2,60000,2.38
0,76,2,1,18000,2.1
0,28,2,1,6000,2.31
115,27,2,1,36000,3.85
6500,32,2,2,72000,2.92
370,36,1,1,54000,2.38
32,45,2,1,66000,2.23
0,81,2,1,12000,1.89
100,53,2,2,72000,2.54
0,30,1,1,60000,2.38
80,53,1,1,30000,1.54
0,42,2,1,12000,1.76
1000,48,2,1,42000,2.77
1100,44,2,2,66000,2.85
350,28,1,1,54000,1.85
610,69,1,2,48000,2.92
475,49,1,2,54000,2.77
0,33,2,1,30000,2.15
100,26,1,2,24000,2.15
100,39,1,1,24000,3.23
0,57,1,1,42000,3.31
0,37,2,1,18000,2.02
30,29,1,1,66000,2.25
0,44,2,1,6000,1.85
300,18,1,1,54000,2.31
185,24,2,2,42000,2.85
530,62,1,1,48000,2.08
25,64,1,1,66000,1.73
257,28,2,1,48000,2.54
250,44,1,2,48000,2.62
70,75,1,1,60000,2.85
0,39,1,1,48000,2.43
825,60,2,1,42000,2.77
100,45,2,1,42000,2.23
0,39,2,1,6000,2.66
0,38,1,1,6000,2.93
2150,42,2,1,42000,1.92
25,48,2,1,36000,2.23
200,81,2,1,6000,3.04
135,70,1,1,18000,2.31
10,38,2,1,12000,2.38
1400,65,2,1,24000,3.54
81,59,2,1,12000,2.15
720,70,1,1,18000,2.31
0,44,1,1,24000,1.77
45,29,2,1,30000,2.69
185,30,1,1,18000,2.62
1900,50,2,1,72000,2.38
350,41,1,1,36000,2
4100,50,1,2,78000,2
400,30,1,2,78000,2.46
0,28,1,2,42000,2.23
0,70,2,1,6000,1.55
0,75,1,1,6000,1.62
2500,25,2,2,54000,3.08
0,52,2,1,66000,2.15
0,37,2,1,72000,2.27
0,33,1,2,54000,2.46
150,62,2,1,54000,2.54
2500,66,1,1,36000,2.32
25,73,2,1,18000,2.38
100,64,1,1,42000,2.05
250,67,2,2,66000,2.85
800,52,2,2,54000,2.02
900,64,2,1,30000,2.38
250,75,1,1,66000,2
0,25,1,1,78000,3
0,71,2,1,72000,2.08
0,38,2,1,36000,2.23
335,39,2,2,36000,2.08
10,32,1,1,36000,2.46
100,36,2,1,30000,2.31
0,33,1,2,48000,2.39
100,28,2,1,42000,2.24
175,28,2,2,60000,2.46
500,77,1,1,30000,1.71
0,48,1,1,78000,1.85
25,78,2,1,18000,1.63
920,52,2,1,54000,2.85
50,31,2,2,54000,2.46
445,72,2,1,12000,2.38
30,18,2,1,54000,2.38
325,53,1,1,48000,1.92
5,66,2,1,12000,2.17
150,30,1,1,18000,3.15
300,45,2,2,54000,1.54
0,47,2,2,78000,1.88
