occtitle,occtype,income,educ,prestige
accountant_for_a_large_business,prof,62,86,82
airline_pilot,prof,72,76,83
architect,prof,75,92,90
author_of_novels,prof,55,90,76
chemist,prof,64,86,90
minister,prof,21,84,87
college_professor,prof,64,93,93
dentist,prof,80,100,90
reporter_on_a_daily_newspaper,wc,67,87,52
civil_engineer,prof,72,86,88
undertaker,prof,42,74,57
lawyer,prof,76,98,89
physician,prof,76,97,97
welfare_worker_for_city_government,prof,41,84,59
instructor_in_the_public_schools,prof,48,91,73
railroad_conductor,wc,76,34,38
building_contractor,prof,53,45,76
owner_of_a_factory_employing_100,prof,60,56,81
manager_of_a_small_store_in_a_city,prof,42,44,45
banker,prof,78,82,92
bookkeeper,wc,29,72,39
mail_carrier,wc,48,55,34
insurance_agent,wc,55,71,41
clerk_in_a_store,wc,29,50,16
carpenter,bc,21,23,33
electrician,bc,47,39,53
railroad_engineer,bc,81,28,67
trained_machinist,bc,36,32,57
automobile_repairman,bc,22,22,26
plumber,bc,44,25,29
filling-station_attendant,bc,15,29,10
coal_miner,bc,7,7,15
streetcar_motorman,bc,42,26,19
taxi-driver,bc,9,19,10
truck-driver,bc,21,15,13
machine-operator_in_a_factory,bc,21,20,24
barber,bc,16,26,20
bartender,bc,16,28,7
shoe-shiner,bc,9,17,3
restaurant_cook,bc,14,22,16
soda_fountain_clerk,bc,12,30,6
night_watchman,bc,17,25,11
janitor,bc,7,20,8
policeman,bc,34,47,41
restaurant_waiter,bc,8,32,10
