firm,assets,industry,nation,number,canada,us,other,uk
1,147670,BNK,CAN,87,1,0,0,0
2,133000,BNK,CAN,107,1,0,0,0
3,113230,BNK,CAN,94,1,0,0,0
4,85418,BNK,CAN,48,1,0,0,0
5,75477,BNK,CAN,66,1,0,0,0
6,40742,FIN,CAN,69,1,0,0,0
7,40140,TRN,CAN,46,1,0,0,0
8,26866,BNK,CAN,16,1,0,0,0
9,24500,TRN,CAN,77,1,0,0,0
10,23700,MIN,US,6,0,1,0,0
11,23482,FIN,CAN,18,1,0,0,0
12,21512,FIN,CAN,29,1,0,0,0
13,20780,MIN,US,36,0,1,0,0
14,18688,FIN,CAN,20,1,0,0,0
15,18286,BNK,CAN,13,1,0,0,0
16,17910,MIN,US,6,0,1,0,0
17,17784,FIN,CAN,31,1,0,0,0
18,16631,FIN,CAN,27,1,0,0,0
19,16458,FIN,CAN,23,1,0,0,0
20,15280,MIN,US,13,0,1,0,0
21,15140,FIN,CAN,32,1,0,0,0
22,14362,FIN,CAN,28,1,0,0,0
23,14163,AGR,CAN,4,1,0,0,0
24,13820,HLD,CAN,42,1,0,0,0
25,13787,FIN,CAN,17,1,0,0,0
26,12810,TRN,CAN,40,1,0,0,0
27,12080,MIN,US,29,0,1,0,0
28,11250,MIN,CAN,29,1,0,0,0
29,11090,MAN,US,21,0,1,0,0
30,10580,MIN,OTH,3,0,0,1,0
31,10570,MAN,CAN,32,1,0,0,0
32,10568,FIN,CAN,29,1,0,0,0
33,10320,MIN,CAN,40,1,0,0,0
34,10110,TRN,US,5,0,1,0,0
35,9044,WOD,CAN,33,1,0,0,0
36,8395,FIN,CAN,21,1,0,0,0
37,8182,FIN,US,18,0,1,0,0
38,7994,TRN,US,18,0,1,0,0
39,7930,FIN,CAN,13,1,0,0,0
40,7877,MAN,US,2,0,1,0,0
41,7564,FIN,US,22,0,1,0,0
42,7510,FIN,US,13,0,1,0,0
43,7287,FIN,US,2,0,1,0,0
44,7018,BNK,CAN,0,1,0,0,0
45,6629,MIN,US,18,0,1,0,0
46,6571,FIN,CAN,9,1,0,0,0
47,6498,TRN,CAN,31,1,0,0,0
48,6407,AGR,CAN,16,1,0,0,0
49,6286,MIN,CAN,28,1,0,0,0
50,5932,FIN,CAN,34,1,0,0,0
51,5704,MIN,CAN,33,1,0,0,0
